Semana,Prenda,Unidades
1,BLUSAS,38
1,BUSOS,3
1,CAMIBUSOS,4
1,CAMISAS,57
1,CAMISETAS,57
1,JEANS,238
1,PANTALON COLOR,105
1,POLOS,30
2,BLUSAS,54
2,BUSOS,9
2,CAMIBUSOS,9
2,CAMISAS,79
2,CAMISETAS,57
2,JEANS,354
2,JOGGER,29
2,PANTALON COLOR,196
2,POLOS,46
2,TAPABOCAS,16
2,VESTIDOS,1
3,BERMUDA,2
3,BLUSAS,45
3,BUSOS,4
3,CAMIBUSOS,12
3,CAMISAS,51
3,CAMISETAS,42
3,CHAQUETAS,3
3,CORREAS,3
3,JEANS,264
3,JOGGER,18
3,PANTALON COLOR,139
3,POLOS,31
3,TAPABOCAS,5
3,VESTIDOS,3
4,BLUSAS,55
4,BUSOS,2
4,CAMIBUSOS,13
4,CAMISAS,75
4,CAMISETAS,47
4,CHAQUETAS,9
4,CORREAS,5
4,JEANS,278
4,JOGGER,33
4,PANTALON COLOR,153
4,POLOS,33
4,TAPABOCAS,10
4,VESTIDOS,5
5,BLUSAS,80
5,BUSOS,3
5,CAMIBUSOS,14
5,CAMISAS,87
5,CAMISETAS,81
5,CHAQUETAS,7
5,CORREAS,4
5,JEANS,320
5,JOGGER,31
5,PANTALON COLOR,150
5,POLOS,33
5,TAPABOCAS,8
5,VESTIDOS,7
6,BLUSAS,78
6,BUSOS,4
6,CAMIBUSOS,15
6,CAMISAS,88
6,CAMISETAS,67
6,CHAQUETAS,6
6,CORREAS,5
6,JEANS,341
6,JOGGER,42
6,PANTALON COLOR,184
6,POLOS,46
6,TAPABOCAS,6
6,VESTIDOS,6
7,BLUSAS,60
7,BUSOS,2
7,CAMIBUSOS,12
7,CAMISAS,84
7,CAMISETAS,63
7,CHAQUETAS,4
7,CORREAS,3
7,JEANS,291
7,JOGGER,35
7,PANTALON COLOR,148
7,POLOS,35
7,TAPABOCAS,5
7,VESTIDOS,12
8,BLUSAS,54
8,BUSOS,4
8,CAMIBUSOS,19
8,CAMISAS,93
8,CAMISETAS,57
8,CHAQUETAS,5
8,CORREAS,8
8,JEANS,279
8,JOGGER,17
8,PANTALON COLOR,151
8,POLOS,44
8,TAPABOCAS,9
8,VESTIDOS,8
9,BLUSAS,61
9,BUSOS,5
9,CAMIBUSOS,23
9,CAMISAS,80
9,CAMISETAS,51
9,CHAQUETAS,6
9,CORREAS,5
9,JEANS,304
9,JOGGER,32
9,PANTALON COLOR,160
9,POLOS,51
9,TAPABOCAS,6
9,VESTIDOS,7
10,BERMUDA,3
10,BLUSAS,49
10,BUSOS,7
10,CAMIBUSOS,15
10,CAMISAS,80
10,CAMISETAS,66
10,CHAQUETAS,9
10,CORREAS,2
10,JEANS,341
10,JOGGER,32
10,PANTALON COLOR,166
10,POLOS,35
10,TAPABOCAS,6
10,VESTIDOS,9
11,BERMUDA,2
11,BLUSAS,67
11,BUSOS,5
11,CAMIBUSOS,16
11,CAMISAS,87
11,CAMISETAS,53
11,CHAQUETAS,6
11,CORREAS,4
11,JEANS,331
11,JOGGER,36
11,PANTALON COLOR,163
11,POLOS,34
11,TAPABOCAS,2
11,VESTIDOS,4
12,BERMUDA,2
12,BLUSAS,34
12,BUSOS,5
12,CAMIBUSOS,12
12,CAMISAS,54
12,CAMISETAS,47
12,CHAQUETAS,5
12,CORREAS,7
12,JEANS,268
12,JOGGER,32
12,PANTALON COLOR,109
12,POLOS,36
12,TAPABOCAS,2
12,VESTIDOS,2
13,BERMUDA,2
13,BLUSAS,43
13,BUSOS,4
13,CAMIBUSOS,16
13,CAMISAS,60
13,CAMISETAS,59
13,CHAQUETAS,5
13,CORREAS,2
13,JEANS,305
13,JOGGER,50
13,PANTALON COLOR,136
13,POLOS,30
13,TAPABOCAS,5
13,VESTIDOS,1
14,BERMUDA,2
14,BLUSAS,76
14,BUSOS,6
14,CAMIBUSOS,12
14,CAMISAS,77
14,CAMISETAS,61
14,CHAQUETAS,5
14,CORREAS,3
14,JEANS,306
14,JOGGER,41
14,PANTALON COLOR,107
14,POLOS,31
14,TAPABOCAS,2
14,VESTIDOS,4
15,BERMUDA,1
15,BLUSAS,46
15,BUSOS,7
15,CAMIBUSOS,10
15,CAMISAS,42
15,CAMISETAS,39
15,CHAQUETAS,7
15,CORREAS,4
15,JEANS,227
15,JOGGER,49
15,PANTALON COLOR,80
15,POLOS,26
15,VESTIDOS,4
16,BLUSAS,41
16,BUSOS,15
16,CAMIBUSOS,7
16,CAMISAS,42
16,CAMISETAS,37
16,CHAQUETAS,6
16,CORREAS,3
16,JEANS,234
16,JOGGER,38
16,PANTALON COLOR,77
16,POLOS,38
16,SHORT,5
16,VESTIDOS,6
17,BERMUDA,5
17,BLUSAS,37
17,BUSOS,12
17,CAMIBUSOS,8
17,CAMISAS,47
17,CAMISETAS,36
17,CHAQUETAS,6
17,CORREAS,4
17,JEANS,238
17,JOGGER,42
17,PANTALON COLOR,84
17,POLOS,52
17,SHORT,4
17,VESTIDOS,4
18,BLUSAS,44
18,BUSOS,16
18,CAMIBUSOS,7
18,CAMISAS,54
18,CAMISETAS,56
18,CHAQUETAS,3
18,CORREAS,2
18,JEANS,288
18,JOGGER,34
18,PANTALON COLOR,85
18,POLOS,48
18,SHORT,4
18,VESTIDOS,3
19,BERMUDA,3
19,BLUSAS,100
19,BUSOS,15
19,CAMIBUSOS,11
19,CAMISAS,68
19,CAMISETAS,139
19,CHAQUETAS,10
19,CORREAS,5
19,JEANS,462
19,JOGGER,65
19,PANTALON COLOR,153
19,POLOS,81
19,SHORT,4
19,VESTIDOS,12
20,BERMUDA,6
20,BLUSAS,80
20,BUSOS,6
20,CAMIBUSOS,22
20,CAMISAS,70
20,CAMISETAS,75
20,CHAQUETAS,4
20,CORREAS,2
20,JEANS,430
20,JOGGER,53
20,PANTALON COLOR,151
20,POLOS,63
20,SHORT,4
20,TAPABOCAS,2
20,VESTIDOS,4
21,BERMUDA,7
21,BLUSAS,61
21,BUSOS,8
21,CAMIBUSOS,10
21,CAMISAS,62
21,CAMISETAS,65
21,CHAQUETAS,5
21,CORREAS,2
21,JEANS,422
21,JOGGER,53
21,PANTALON COLOR,145
21,POLOS,63
21,SHORT,4
21,TAPABOCAS,3
21,VESTIDOS,3
22,BERMUDA,3
22,BLUSAS,70
