Date,FAMILIA_DESC,CATEGORIA,TALLA,Unidades
09/12/2022,BLUSAS,MANGA_CORTA_M,M,1
09/12/2022,BLUSAS,MANGA_SISA,M,1
09/12/2022,BLUSAS,MANGA_SISA,XL,1
09/12/2022,BUSOS,BUSO_H,XL,1
09/12/2022,CAMIBUSOS,CAMIBUSO,S,1
09/12/2022,CAMISAS,MANGA_CORTA_H,S,1
09/12/2022,CAMISAS,MANGA_CORTA_H,XL,1
09/12/2022,CAMISAS,MANGA_CORTA_H_B,M,1
09/12/2022,CAMISAS,MANGA_CORTA_H_B,XXL,1
09/12/2022,CAMISAS,MANGA_LARGA_H,XXL,1
09/12/2022,CAMISETAS,CAMISETA MANGA LARGA,M,1
09/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,L,1
09/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,M,1
09/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,XS,1
09/12/2022,CAMISETAS,T-SHIRT,L,1
09/12/2022,CAMISETAS,T-SHIRT,XL,1
09/12/2022,CAMISETAS,T-SHIRT,XL,2
09/12/2022,CORREAS,CORREA,34,1
09/12/2022,CORREAS,CORREA,38,1
09/12/2022,JEANS,FLARE,12,1
09/12/2022,JEANS,JEGGIN,6,1
09/12/2022,JEANS,JEGGIN AZUL OSCURO,12,1
09/12/2022,JEANS,REGULAR,31,1
09/12/2022,JEANS,REGULAR,34,1
09/12/2022,JEANS,REGULAR,36,1
09/12/2022,JEANS,SKINY,10,1
09/12/2022,JEANS,SKINY,16,1
09/12/2022,JEANS,SKINY,6,1
09/12/2022,JEANS,SKINY,8,1
09/12/2022,JEANS,SLIM,30,1
09/12/2022,JEANS,SLIM,31,2
09/12/2022,JEANS,SLIM,32,1
09/12/2022,JEANS,SLIM,33,1
09/12/2022,JEANS,SLIM,36,1
09/12/2022,JEANS,SLIM,38,1
09/12/2022,JEANS,SLIM,40,1
09/12/2022,JEANS,SLIM VERDOSO,33X32,1
09/12/2022,JEANS,SUPER SLIM,32,1
09/12/2022,JEANS,SUPER SLIM,34,1
09/12/2022,JOGGER,JOGGER CARGO,32,1
09/12/2022,JOGGER,JOGGER_H,34X32,1
09/12/2022,JOGGER,JOGGER_M,12,1
09/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,10X29,1
09/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,8X29,1
09/12/2022,PANTALON COLOR,SKINY NEGRO MATE,16X29,1
09/12/2022,PANTALON COLOR,SLIM COLOR,32X32,1
09/12/2022,PANTALON COLOR,SLIM COLOR,33X32,1
09/12/2022,PANTALON COLOR,SLIM COLOR,36X32,1
09/12/2022,PANTALON COLOR,SLIM COLOR,38X32,1
09/12/2022,PANTALON COLOR,SLIM COLOR CHINO,34,1
09/12/2022,POLOS,POLO,M,1
09/12/2022,POLOS,POLO,S,1
09/12/2022,POLOS,POLO,XL,1
09/12/2022,POLOS,POLO CUELLO NERU,L,1
09/12/2022,POLOS,POLO CUELLO NERU_B,XL,1
08/12/2022,BLUSAS,MANGA_CORTA_M,L,1
08/12/2022,BLUSAS,MANGA_CORTA_M,M,1
08/12/2022,BLUSAS,MANGA_CORTA_M,S,1
08/12/2022,BLUSAS,MANGA_CORTA_M_B,M,1
08/12/2022,BLUSAS,MANGA_LARGA_M,M,1
08/12/2022,BLUSAS,MANGA_LARGA_M,S,2
08/12/2022,BLUSAS,MANGA_LARGA_M,XL,1
08/12/2022,BLUSAS,MANGA_LARGA_M,XS,1
08/12/2022,BLUSAS,MANGA_LARGA_M_B,S,1
08/12/2022,BLUSAS,MANGA_SISA,M,1
08/12/2022,BUSOS,BUSO_H,M,1
08/12/2022,CAMIBUSOS,CAMIBUSO,M,1
08/12/2022,CAMIBUSOS,CAMIBUSO,XL,1
08/12/2022,CAMISAS,MANGA_CORTA_H,L,1
08/12/2022,CAMISAS,MANGA_CORTA_H,M,1
08/12/2022,CAMISAS,MANGA_CORTA_H,XL,1
08/12/2022,CAMISAS,MANGA_CORTA_H_B,M,1
08/12/2022,CAMISAS,MANGA_LARGA_H,XL,1
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,L,1
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,M,1
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,M,3
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,S,1
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,S,2
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,XL,1
08/12/2022,CAMISETAS,CAMISETA MANGA LARGA,XS,1
08/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,XL,1
08/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,XS,1
08/12/2022,CAMISETAS,T-SHIRT,M,1
08/12/2022,CHAQUETAS,CHAQUETA_M,L,1
08/12/2022,CORREAS,CORREA,34,1
08/12/2022,JEANS,CULOTTE,10,1
08/12/2022,JEANS,JEGGIN,10,1
08/12/2022,JEANS,JEGGIN,6,1
08/12/2022,JEANS,MAGIC,10,1
08/12/2022,JEANS,MAGIC,12,1
08/12/2022,JEANS,MOM FLARED,12,1
08/12/2022,JEANS,REGULAR,30,1
08/12/2022,JEANS,REGULAR,32,1
08/12/2022,JEANS,REGULAR,34,1
08/12/2022,JEANS,SKINY,10,1
08/12/2022,JEANS,SKINY,12,1
08/12/2022,JEANS,SKINY,14,1
08/12/2022,JEANS,SKINY,16,1
08/12/2022,JEANS,SLIM,30,1
08/12/2022,JEANS,SLIM,31,1
08/12/2022,JEANS,SLIM,34,1
08/12/2022,JEANS,SLIM,36,1
08/12/2022,JEANS,SLIM NEGRO MATE,38X32,1
08/12/2022,JEANS,STRAIGHT,12,1
08/12/2022,JEANS,SUPER SLIM,31,1
08/12/2022,JEANS,SUPER SLIM,36,1
08/12/2022,JOGGER,JOGGER_H,30X32,1
08/12/2022,JOGGER,JOGGER_H,30X32,2
08/12/2022,JOGGER,JOGGER_H,34X32,1
08/12/2022,JOGGER,JOGGER_H,36X32,1
08/12/2022,JOGGER,JOGGER_M,14,1
08/12/2022,PANTALON COLOR,JEGGIN COLOR,10,1
08/12/2022,PANTALON COLOR,JEGGIN COLOR,14,1
08/12/2022,PANTALON COLOR,JEGGIN COLOR,7,1
08/12/2022,PANTALON COLOR,JEGGIN COLOR,8,1
08/12/2022,PANTALON COLOR,JEGGIN COLOR,9,1
08/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,10X29,2
08/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,12X29,1
08/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,14X29,1
08/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,7X29,1
08/12/2022,PANTALON COLOR,JEGGIN NEGRO MATE,9X29,1
08/12/2022,PANTALON COLOR,PAPER BAG,8,1
08/12/2022,PANTALON COLOR,SKINY NEGRO MATE,12X29,1
08/12/2022,PANTALON COLOR,SLIM COLOR,32X32,1
08/12/2022,PANTALON COLOR,SLIM COLOR,33X32,1
08/12/2022,PANTALON COLOR,SLIM COLOR,34X32,1
08/12/2022,POLOS,POLO,XXL,1
08/12/2022,POLOS,POLO BOLSILLO,L,1
08/12/2022,POLOS,POLO CUELLO NERU,L,1
08/12/2022,POLOS,POLO CUELLO NERU,M,1
08/12/2022,POLOS,POLO CUELLO NERU,XL,1
08/12/2022,POLOS,POLO CUELLO NERU,XXL,1
08/12/2022,POLOS,POLO_B,L,1
08/12/2022,POLOS,POLO_B,XXL,1
07/12/2022,BLUSAS,MANGA_LARGA_M,L,2
07/12/2022,BLUSAS,MANGA_LARGA_M,S,1
07/12/2022,BLUSAS,MANGA_SISA,XL,1
07/12/2022,BLUSAS,MANGA_SISA,XS,1
07/12/2022,BUSOS,BUSO_H,L,1
07/12/2022,BUSOS,BUSO_H,L,2
07/12/2022,BUSOS,BUSO_H,XL,1
07/12/2022,BUSOS,BUSO_M,XS,1
07/12/2022,CAMIBUSOS,CAMIBUSO,XL,1
07/12/2022,CAMISAS,MANGA_CORTA_H,L,1
07/12/2022,CAMISAS,MANGA_CORTA_H,M,1
07/12/2022,CAMISAS,MANGA_CORTA_H,XL,1
07/12/2022,CAMISAS,MANGA_LARGA_H,M,1
07/12/2022,CAMISAS,MANGA_LARGA_H_B,M,1
07/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,M,1
07/12/2022,CAMISETAS,CAMISETA_MANGA_CORTA,XS,1
07/12/2022,CAMISETAS,T-SHIRT,S,1
07/12/2022,CAMISETAS,T-SHIRT PREMIUM_B,S,1
07/12/2022,CHAQUETAS,CHAQUETA_H,M,1
07/12/2022,CHAQUETAS,CHAQUETA_H,XL,1
07/12/2022,CHAQUETAS,CHAQUETA_M,S,1
07/12/2022,JEANS,CULOTTE,6,1
07/12/2022,JEANS,CULOTTE PREMIUM,10,1
07/12/2022,JEANS,FLARE,10,1
