Semana,Prenda,Unidades
50,BLUSAS,4
50,CAMISETAS,9
50,CAMISAS,6
50,BUSOS,1
50,PANTALON COLOR,15
50,POLOS,7
50,CORREAS,2
50,JOGGER,3
50,JEANS,29
50,CAMIBUSOS,1
50,CAMISAS,5
50,BUSOS,2
50,CAMISETAS,19
50,PANTALON COLOR,18
50,POLOS,10
50,BLUSAS,14
50,JEANS,28
50,CHAQUETAS,1
50,JOGGER,7
50,CAMIBUSOS,3
50,CORREAS,1
50,BLUSAS,5
50,CAMISAS,10
50,BUSOS,5
50,POLOS,5
50,CAMISETAS,5
50,PANTALON COLOR,19
50,CAMIBUSOS,1
50,JOGGER,10
50,JEANS,32
50,CHAQUETAS,3
50,POLOS,19
50,CAMISETAS,16
50,PANTALON COLOR,18
50,BUSOS,8
50,CAMISAS,15
50,JEANS,60
50,CHAQUETAS,2
50,BLUSAS,12
50,CORREAS,1
50,JOGGER,12
50,CAMIBUSOS,2
50,CAMISAS,8
50,BUSOS,1
50,JEANS,41
50,CAMISETAS,8
50,POLOS,6
50,PANTALON COLOR,17
50,SHORT,1
50,CHAQUETAS,1
50,JOGGER,9
50,VESTIDOS,2
50,CAMIBUSOS,2
50,BLUSAS,3
50,JEANS,44
50,CAMISETAS,4
50,POLOS,15
50,PANTALON COLOR,11
50,BUSOS,1
50,BLUSAS,12
50,CAMISAS,8
50,JOGGER,7
49,POLOS,3
49,CAMISETAS,5
49,PANTALON COLOR,19
49,BUSOS,1
49,JOGGER,8
49,JEANS,45
49,CAMIBUSOS,2
49,VESTIDOS,1
49,BLUSAS,15
49,CAMISAS,8
49,JEANS,55
49,JOGGER,5
49,VESTIDOS,1
49,PANTALON COLOR,29
49,CORREAS,1
49,CAMISAS,7
49,CAMISETAS,13
49,POLOS,13
49,BLUSAS,4
49,JEANS,46
49,CAMIBUSOS,2
49,JOGGER,7
49,BERMUDA,2
49,BLUSAS,5
49,CAMISAS,10
49,POLOS,1
49,CAMISETAS,10
49,BUSOS,1
49,PANTALON COLOR,34
46,BERMUDA,1
46,CAMISAS,6
46,BLUSAS,9
46,CHAQUETAS,2
46,JOGGER,4
46,CORREAS,2
46,JEANS,45
46,CAMISETAS,22
46,POLOS,14
46,PANTALON COLOR,14
46,BUSOS,1
46,BLUSAS,5
46,CAMISAS,6
46,PANTALON COLOR,23
46,JEANS,23
46,CAMISETAS,8
46,POLOS,3
46,JOGGER,4
46,CAMIBUSOS,3
46,CAMISAS,6
46,CAMISETAS,4
46,CHAQUETAS,1
46,CAMIBUSOS,3
46,JOGGER,13
46,JEANS,23
46,PANTALON COLOR,19
46,SHORT,2
46,POLOS,2
46,BLUSAS,13
46,CAMISAS,12
46,CAMISETAS,13
46,PANTALON COLOR,19
46,BUSOS,13
46,POLOS,16
46,CORREAS,1
46,SHORT,2
46,CHAQUETAS,5
46,JOGGER,9
46,JEANS,76
46,CAMIBUSOS,7
45,BUSOS,1
45,CAMISETAS,6
45,PANTALON COLOR,14
45,POLOS,12
45,BLUSAS,5
45,CAMISAS,10
45,JEANS,50
45,CHAQUETAS,1
45,JOGGER,5
45,CAMIBUSOS,1
45,CAMISAS,11
45,JEANS,54
45,CAMISETAS,20
45,BUSOS,3
45,PANTALON COLOR,16
45,POLOS,3
45,JOGGER,15
45,VESTIDOS,1
45,CAMIBUSOS,1
45,BLUSAS,7
45,CHAQUETAS,2
45,CAMISAS,19
45,PANTALON COLOR,64
45,JEANS,187
45,CAMISETAS,17
45,POLOS,15
45,BLUSAS,17
45,CHAQUETAS,1
45,JOGGER,39
45,VESTIDOS,1
45,CAMIBUSOS,18
45,JEANS,28
45,POLOS,5
45,CAMISETAS,9
45,PANTALON COLOR,9
45,CAMIBUSOS,2
45,VESTIDOS,2
45,JOGGER,1
45,CAMISAS,2
45,BLUSAS,4
45,CAMIBUSOS,1
45,JEANS,26
45,PANTALON COLOR,13
45,POLOS,9
45,CAMISAS,2
45,CAMISETAS,6
45,BLUSAS,3
42,POLOS,5
42,JEANS,62
42,BUSOS,1
42,CAMISAS,11
42,CAMISETAS,37
