Date,UNIDADES
03/01/2020,11
04/01/2020,16
02/01/2020,11
11/01/2020,3
05/01/2020,11
08/01/2020,11
10/01/2020,8
07/01/2020,20
09/01/2020,8
06/01/2020,7
18/01/2020,7
15/01/2020,12
13/01/2020,7
16/01/2020,20
14/01/2020,12
17/01/2020,7
12/01/2020,8
21/01/2020,11
24/01/2020,6
23/01/2020,11
25/01/2020,12
20/01/2020,23
22/01/2020,7
19/01/2020,14
31/01/2020,15
29/01/2020,18
28/01/2020,9
30/01/2020,24
27/01/2020,7
01/02/2020,34
26/01/2020,12
03/02/2020,13
06/02/2020,14
07/02/2020,11
04/02/2020,15
02/02/2020,29
05/02/2020,15
08/02/2020,18
12/02/2020,7
09/02/2020,9
15/02/2020,27
11/02/2020,13
14/02/2020,17
13/02/2020,4
10/02/2020,4
21/02/2020,5
18/02/2020,11
17/02/2020,1
20/02/2020,3
16/02/2020,21
22/02/2020,13
19/02/2020,2
28/02/2020,15
25/02/2020,18
24/02/2020,2
27/02/2020,15
26/02/2020,12
23/02/2020,17
29/02/2020,16
06/03/2020,13
04/03/2020,5
02/03/2020,2
05/03/2020,9
01/03/2020,4
07/03/2020,11
03/03/2020,14
09/03/2020,3
12/03/2020,11
14/03/2020,8
11/03/2020,4
08/03/2020,7
10/03/2020,1
13/03/2020,12
19/03/2020,1
17/03/2020,3
18/03/2020,3
15/03/2020,14
16/03/2020,5
04/06/2020,3
02/06/2020,2
06/06/2020,9
03/06/2020,3
09/06/2020,3
12/06/2020,4
10/06/2020,5
07/06/2020,5
13/06/2020,1
11/06/2020,5
20/06/2020,2
17/06/2020,7
14/06/2020,12
16/06/2020,2
18/06/2020,4
15/06/2020,3
19/06/2020,9
27/06/2020,3
22/06/2020,2
26/06/2020,1
21/06/2020,5
24/06/2020,6
30/06/2020,2
02/07/2020,3
03/07/2020,3
01/07/2020,7
04/07/2020,4
28/06/2020,3
10/07/2020,4
08/07/2020,5
09/07/2020,4
05/07/2020,4
06/07/2020,3
14/07/2020,3
13/07/2020,1
12/07/2020,4
15/07/2020,2
16/07/2020,5
22/07/2020,6
23/07/2020,4
21/07/2020,2
30/07/2020,1
27/07/2020,2
29/07/2020,1
28/07/2020,1
05/08/2020,7
06/08/2020,3
04/08/2020,3
03/08/2020,5
13/08/2020,4
10/08/2020,3
14/08/2020,5
12/08/2020,5
11/08/2020,5
21/08/2020,3
18/08/2020,4
20/08/2020,8
19/08/2020,7
22/08/2020,8
28/08/2020,5
23/08/2020,2
29/08/2020,5
27/08/2020,4
26/08/2020,7
24/08/2020,1
25/08/2020,1
31/08/2020,3
03/09/2020,13
30/08/2020,5
02/09/2020,10
05/09/2020,14
01/09/2020,4
04/09/2020,7
08/09/2020,6
11/09/2020,2
07/09/2020,2
12/09/2020,19
10/09/2020,5
06/09/2020,8
09/09/2020,3
18/09/2020,9
15/09/2020,7
19/09/2020,7
16/09/2020,5
13/09/2020,8
14/09/2020,7
17/09/2020,4
21/09/2020,9
24/09/2020,2
20/09/2020,17
25/09/2020,4
23/09/2020,5
26/09/2020,4
22/09/2020,6
01/10/2020,9
02/10/2020,7
29/09/2020,6
03/10/2020,9
30/09/2020,4
28/09/2020,3
27/09/2020,5
04/10/2020,10
06/10/2020,3
09/10/2020,8
10/10/2020,11
07/10/2020,5
05/10/2020,4
08/10/2020,8
11/10/2020,13
12/10/2020,14
15/10/2020,13
16/10/2020,9
13/10/2020,5
14/10/2020,6
17/10/2020,12
23/10/2020,5
20/10/2020,2
22/10/2020,3
