ANO,SEMANA,PRENDA,NOMBREALMACEN,Unidades,SEMANANOR
2020,1,BLUSAS,RIONEGRO,36,1
2020,1,CAMISAS,GUAYABAL,27,1
2020,1,BUSOS,ARKADIA,1,1
2020,1,POLOS,GUAYABAL,38,1
2020,1,CAMISETAS,GUAYABAL,53,1
2020,1,BUSOS,PREMIUM PLAZA,1,1
2020,1,POLOS,TERMINAL DEL NORTE,25,1
2020,1,BLUSAS,ARKADIA,23,1
2020,1,BLUSAS,MOLINOS 1,38,1
2020,1,JEANS,TERMINAL DEL NORTE,139,1
2020,1,JEANS,MAYORCA 1,166,1
2020,1,PANTALON COLOR,MOLINOS 1,105,1
2020,1,CAMIBUSOS,GUAYABAL,8,1
2020,1,POLOS,PUERTA DEL NTE,29,1
2020,1,BUSOS,VIVA ENVIGADO,2,1
2020,1,CAMIBUSOS,PUERTA DEL NTE,1,1
2020,1,BLUSAS,PARQUE LA CEJA,9,1
2020,1,CAMISAS,MARINILLA,17,1
2020,1,BLUSAS,GUAYABAL,41,1
2020,1,BLUSAS,PREMIUM PLAZA,30,1
2020,1,PANTALON COLOR,PARQUE LA CEJA,34,1
2020,1,CAMISETAS,MAYORCA 2,29,1
2020,1,CAMIBUSOS,MAYORCA 1,3,1
2020,1,CAMISAS,MAYORCA 2,32,1
2020,1,BLUSAS,MAYORCA 2,14,1
2020,1,PANTALON COLOR,PREMIUM PLAZA,78,1
2020,1,JEANS,LA CENTRAL,99,1
2020,1,CAMISETAS,TERMINAL DEL NORTE,48,1
2020,1,POLOS,MAYORCA 1,15,1
2020,1,BUSOS,MAYORCA 2,1,1
2020,1,JEANS,PUERTA DEL NTE,141,1
2020,1,BLUSAS,MARINILLA,13,1
2020,1,BLUSAS,VIVA ENVIGADO,25,1
2020,1,BUSOS,GUAYABAL,4,1
2020,1,PANTALON COLOR,ARKADIA,58,1
2020,1,PANTALON COLOR,PUERTA DEL NTE,86,1
2020,1,BUSOS,MAYORCA 1,4,1
2020,1,PANTALON COLOR,VIVA ENVIGADO,119,1
2020,1,BUSOS,MARINILLA,2,1
2020,1,PANTALON COLOR,RIONEGRO,103,1
2020,1,CAMISETAS,MAYORCA 1,20,1
2020,1,CAMISAS,MAYORCA 1,38,1
2020,1,BUSOS,MOLINOS 1,3,1
2020,1,PANTALON COLOR,LA CENTRAL,52,1
2020,1,CAMISAS,TERMINAL DEL NORTE,37,1
2020,1,CAMIBUSOS,MOLINOS 1,4,1
2020,1,POLOS,MOLINOS 1,30,1
2020,1,PANTALON COLOR,GUAYABAL,91,1
2020,1,CAMISETAS,RIONEGRO,51,1
2020,1,JEANS,RIONEGRO,265,1
2020,1,BUSOS,PUERTA DEL NTE,1,1
2020,1,CAMIBUSOS,ARKADIA,7,1
2020,1,POLOS,RIONEGRO,46,1
2020,1,PANTALON COLOR,MARINILLA,27,1
2020,1,POLOS,ARKADIA,10,1
2020,1,CAMIBUSOS,RIONEGRO,7,1
2020,1,PANTALON COLOR,MAYORCA 1,93,1
2020,1,BUSOS,TERMINAL DEL NORTE,2,1
2020,1,BUSOS,LA CENTRAL,1,1
2020,1,CAMIBUSOS,PREMIUM PLAZA,4,1
2020,1,JEANS,VIVA ENVIGADO,208,1
2020,1,CAMIBUSOS,MAYORCA 2,8,1
2020,1,PANTALON COLOR,MAYORCA 2,91,1
2020,1,BLUSAS,MAYORCA 1,20,1
2020,1,JEANS,PARQUE LA CEJA,48,1
2020,1,POLOS,MAYORCA 2,20,1
2020,1,JEANS,MOLINOS 1,238,1
2020,1,POLOS,VIVA ENVIGADO,19,1
2020,1,CAMISAS,PREMIUM PLAZA,21,1
2020,1,JEANS,MAYORCA 2,168,1
2020,1,CAMISETAS,MARINILLA,12,1
2020,1,CAMISETAS,PUERTA DEL NTE,15,1
2020,1,JEANS,MARINILLA,50,1
2020,1,POLOS,LA CENTRAL,11,1
2020,1,CAMISETAS,LA CENTRAL,13,1
2020,1,CAMISAS,VIVA ENVIGADO,31,1
2020,1,CAMISAS,MOLINOS 1,57,1
2020,1,JEANS,PREMIUM PLAZA,112,1
2020,1,BLUSAS,LA CENTRAL,16,1
2020,1,CAMISETAS,ARKADIA,21,1
2020,1,CAMISAS,PARQUE LA CEJA,22,1
2020,1,BUSOS,RIONEGRO,1,1
2020,1,CAMISETAS,VIVA ENVIGADO,34,1
2020,1,CAMIBUSOS,LA CENTRAL,3,1
2020,1,JEANS,ARKADIA,124,1
2020,1,CAMISAS,ARKADIA,22,1
2020,1,CAMISAS,RIONEGRO,38,1
2020,1,BLUSAS,TERMINAL DEL NORTE,32,1
2020,1,BLUSAS,PUERTA DEL NTE,31,1
2020,1,CAMISETAS,PREMIUM PLAZA,16,1
2020,1,CAMISAS,PUERTA DEL NTE,38,1
2020,1,CAMISETAS,MOLINOS 1,57,1
2020,1,POLOS,MARINILLA,18,1
2020,1,POLOS,PARQUE LA CEJA,16,1
2020,1,PANTALON COLOR,TERMINAL DEL NORTE,70,1
2020,1,POLOS,PREMIUM PLAZA,11,1
2020,1,CAMISETAS,PARQUE LA CEJA,5,1
2020,1,CAMIBUSOS,MARINILLA,4,1
2020,1,JEANS,GUAYABAL,172,1
2020,1,CAMISAS,LA CENTRAL,24,1
2020,2,CAMISETAS,MOLINOS 1,74,2
2020,2,BUSOS,PREMIUM PLAZA,7,2
2020,2,JEANS,MAYORCA 2,261,2
2020,2,CAMIBUSOS,MARINILLA,1,2
2020,2,JEANS,GUAYABAL,235,2
2020,2,PANTALON COLOR,TERMINAL DEL NORTE,113,2
2020,2,BLUSAS,RIONEGRO,72,2
2020,2,BUSOS,ARKADIA,1,2
2020,2,POLOS,MARINILLA,19,2
2020,2,POLOS,GUAYABAL,49,2
2020,2,CAMISAS,PARQUE LA CEJA,30,2
2020,2,CAMISAS,MOLINOS 1,102,2
2020,2,CAMISETAS,PREMIUM PLAZA,24,2
2020,2,CAMISETAS,PARQUE LA CEJA,22,2
2020,2,CAMISAS,LA CENTRAL,30,2
2020,2,CAMISAS,ARKADIA,51,2
2020,2,BLUSAS,LA CENTRAL,28,2
2020,2,CAMISAS,MARINILLA,29,2
2020,2,POLOS,PREMIUM PLAZA,33,2
2020,2,BUSOS,RIONEGRO,2,2
2020,2,CAMISAS,VIVA ENVIGADO,101,2
2020,2,JEANS,MARINILLA,92,2
2020,2,JEANS,MAYORCA 1,338,2
2020,2,JEANS,PREMIUM PLAZA,186,2
2020,2,CAMIBUSOS,GUAYABAL,6,2
2020,2,BLUSAS,PUERTA DEL NTE,45,2
2020,2,CAMISETAS,LA CENTRAL,31,2
2020,2,CAMISAS,PUERTA DEL NTE,65,2
2020,2,CAMISETAS,MARINILLA,14,2
2020,2,JEANS,ARKADIA,166,2
2020,2,BLUSAS,TERMINAL DEL NORTE,41,2
2020,2,POLOS,RIONEGRO,53,2
2020,2,CAMIBUSOS,MAYORCA 1,4,2
2020,2,CAMISETAS,VIVA ENVIGADO,46,2
2020,2,CAMIBUSOS,VIVA ENVIGADO,1,2
2020,2,CAMISAS,PREMIUM PLAZA,43,2
2020,2,BUSOS,TERMINAL DEL NORTE,3,2
2020,2,CAMISETAS,ARKADIA,29,2
2020,2,CAMISETAS,RIONEGRO,77,2
2020,2,PANTALON COLOR,MAYORCA 1,156,2
2020,2,CAMIBUSOS,MAYORCA 2,4,2
2020,2,JEANS,PARQUE LA CEJA,76,2
2020,2,CAMIBUSOS,RIONEGRO,5,2
2020,2,CAMISETAS,MAYORCA 2,46,2
2020,2,POLOS,MAYORCA 1,33,2
2020,2,JEANS,VIVA ENVIGADO,312,2
2020,2,POLOS,MAYORCA 2,50,2
2020,2,CAMISAS,RIONEGRO,84,2
2020,2,CAMIBUSOS,PARQUE LA CEJA,3,2
2020,2,POLOS,VIVA ENVIGADO,49,2
2020,2,CAMIBUSOS,PREMIUM PLAZA,7,2
2020,2,JEANS,MOLINOS 1,386,2
2020,2,POLOS,PARQUE LA CEJA,12,2
