SEMANA,ANO,PRENDA,UNIDADES,SEMANACORRIDA
1,2020,BLUSAS,38,1
2,2020,BLUSAS,68,2
3,2020,BLUSAS,73,3
4,2020,BLUSAS,84,4
5,2020,BLUSAS,119,5
6,2020,BLUSAS,115,6
7,2020,BLUSAS,81,7
8,2020,BLUSAS,56,8
9,2020,BLUSAS,95,9
10,2020,BLUSAS,58,10
11,2020,BLUSAS,46,11
12,2020,BLUSAS,26,12
23,2020,BLUSAS,17,23
24,2020,BLUSAS,23,24
25,2020,BLUSAS,39,25
26,2020,BLUSAS,17,26
27,2020,BLUSAS,22,27
28,2020,BLUSAS,20,28
29,2020,BLUSAS,15,29
30,2020,BLUSAS,12,30
31,2020,BLUSAS,5,31
32,2020,BLUSAS,18,32
33,2020,BLUSAS,22,33
34,2020,BLUSAS,30,34
35,2020,BLUSAS,25,35
36,2020,BLUSAS,56,36
37,2020,BLUSAS,45,37
38,2020,BLUSAS,47,38
39,2020,BLUSAS,47,39
40,2020,BLUSAS,43,40
41,2020,BLUSAS,49,41
42,2020,BLUSAS,72,42
43,2020,BLUSAS,41,43
44,2020,BLUSAS,43,44
45,2020,BLUSAS,49,45
46,2020,BLUSAS,61,46
47,2020,BLUSAS,57,47
48,2020,BLUSAS,88,48
49,2020,BLUSAS,90,49
50,2020,BLUSAS,138,50
51,2020,BLUSAS,163,51
52,2020,BLUSAS,210,52
53,2020,BLUSAS,106,53
2,2021,BLUSAS,40,55
3,2021,BLUSAS,23,56
4,2021,BLUSAS,39,57
5,2021,BLUSAS,54,58
6,2021,BLUSAS,49,59
7,2021,BLUSAS,47,60
8,2021,BLUSAS,52,61
9,2021,BLUSAS,44,62
10,2021,BLUSAS,40,63
11,2021,BLUSAS,58,64
12,2021,BLUSAS,40,65
13,2021,BLUSAS,48,66
14,2021,BLUSAS,76,67
15,2021,BLUSAS,24,68
16,2021,BLUSAS,21,69
17,2021,BLUSAS,17,70
18,2021,BLUSAS,29,71
19,2021,BLUSAS,56,72
20,2021,BLUSAS,95,73
21,2021,BLUSAS,58,74
22,2021,BLUSAS,58,75
23,2021,BLUSAS,75,76
24,2021,BLUSAS,44,77
25,2021,BLUSAS,38,78
26,2021,BLUSAS,49,79
27,2021,BLUSAS,46,80
28,2021,BLUSAS,55,81
29,2021,BLUSAS,52,82
30,2021,BLUSAS,63,83
31,2021,BLUSAS,59,84
32,2021,BLUSAS,79,85
33,2021,BLUSAS,35,86
34,2021,BLUSAS,47,87
35,2021,BLUSAS,54,88
36,2021,BLUSAS,72,89
37,2021,BLUSAS,69,90
38,2021,BLUSAS,71,91
39,2021,BLUSAS,80,92
40,2021,BLUSAS,59,93
41,2021,BLUSAS,79,94
42,2021,BLUSAS,90,95
43,2021,BLUSAS,74,96
44,2021,BLUSAS,62,97
45,2021,BLUSAS,55,98
46,2021,BLUSAS,57,99
47,2021,BLUSAS,81,100
48,2021,BLUSAS,84,101
49,2021,BLUSAS,137,102
50,2021,BLUSAS,176,103
51,2021,BLUSAS,200,104
52,2021,BLUSAS,279,105
53,2021,BLUSAS,133,106
3,2022,BLUSAS,37,109
4,2022,BLUSAS,41,110
5,2022,BLUSAS,67,111
6,2022,BLUSAS,70,112
7,2022,BLUSAS,51,113
8,2022,BLUSAS,52,114
9,2022,BLUSAS,42,115
10,2022,BLUSAS,47,116
11,2022,BLUSAS,95,117
12,2022,BLUSAS,35,118
13,2022,BLUSAS,38,119
14,2022,BLUSAS,76,120
15,2022,BLUSAS,67,121
16,2022,BLUSAS,60,122
17,2022,BLUSAS,57,123
18,2022,BLUSAS,58,124
19,2022,BLUSAS,144,125
20,2022,BLUSAS,65,126
21,2022,BLUSAS,63,127
22,2022,BLUSAS,82,128
23,2022,BLUSAS,57,129
24,2022,BLUSAS,46,130
25,2022,BLUSAS,92,131
26,2022,BLUSAS,61,132
27,2022,BLUSAS,52,133
28,2022,BLUSAS,61,134
29,2022,BLUSAS,31,135
30,2022,BLUSAS,38,136
31,2022,BLUSAS,51,137
32,2022,BLUSAS,54,138
33,2022,BLUSAS,63,139
34,2022,BLUSAS,37,140
35,2022,BLUSAS,37,141
36,2022,BLUSAS,37,142
37,2022,BLUSAS,52,143
38,2022,BLUSAS,55,144
39,2022,BLUSAS,48,145
40,2022,BLUSAS,35,146
