ANO,SEMANA,UNIDADES,SEMANACORRIDA
2020,1,238,1
2020,2,386,2
2020,3,327,3
2020,4,282,4
2020,5,352,5
2020,6,300,6
2020,7,294,7
2020,8,273,8
2020,9,261,9
2020,10,298,10
2020,11,235,11
2020,12,79,12
2020,23,148,23
2020,24,261,24
2020,25,454,25
2020,26,247,26
2020,27,281,27
2020,28,178,28
2020,29,105,29
2020,30,64,30
2020,31,126,31
2020,32,110,32
2020,33,109,33
2020,34,161,34
2020,35,169,35
2020,36,355,36
2020,37,434,37
2020,38,464,38
2020,39,410,39
2020,40,397,40
2020,41,411,41
2020,42,437,42
2020,43,502,43
2020,44,374,44
2020,45,422,45
2020,46,482,46
2020,47,658,47
2020,48,826,48
2020,49,1046,49
2020,50,1297,50
2020,51,1523,51
2020,52,1621,52
2020,53,694,53
2021,2,322,55
2021,3,231,56
2021,4,272,57
2021,5,327,58
2021,6,328,59
2021,7,314,60
2021,8,336,61
2021,9,346,62
2021,10,338,63
2021,11,342,64
2021,12,333,65
2021,13,347,66
2021,14,297,67
2021,15,137,68
2021,16,131,69
2021,17,166,70
2021,18,138,71
2021,19,229,72
2021,20,435,73
2021,21,441,74
2021,22,431,75
2021,23,489,76
2021,24,619,77
2021,25,948,78
2021,26,576,79
2021,27,500,80
2021,28,509,81
2021,29,466,82
2021,30,428,83
2021,31,441,84
2021,32,482,85
2021,33,383,86
2021,34,449,87
2021,35,400,88
2021,36,406,89
2021,37,404,90
2021,38,421,91
2021,39,370,92
2021,40,334,93
2021,41,357,94
2021,42,419,95
2021,43,390,96
2021,44,445,97
2021,45,375,98
2021,46,411,99
2021,47,567,100
2021,48,552,101
2021,49,1224,102
2021,50,1178,103
2021,51,1438,104
2021,52,2135,105
2021,53,1052,106
2022,3,233,109
2022,4,280,110
2022,5,280,111
2022,6,393,112
2022,7,263,113
2022,8,227,114
2022,9,305,115
2022,10,385,116
2022,11,415,117
2022,12,391,118
2022,13,262,119
2022,14,314,120
2022,15,317,121
2022,16,336,122
2022,17,309,123
2022,18,438,124
2022,19,694,125
2022,20,424,126
2022,21,403,127
2022,22,364,128
2022,23,363,129
2022,24,294,130
2022,25,506,131
2022,26,491,132
2022,27,366,133
2022,28,290,134
2022,29,244,135
2022,30,248,136
2022,31,281,137
2022,32,330,138
2022,33,277,139
2022,34,254,140
2022,35,240,141
2022,36,307,142
2022,37,282,143
2022,38,304,144
2022,39,283,145
2022,40,179,146
