SEMANA,ANO,PRENDA,UNIDADES
1,2020,BLUSAS,38
1,2020,BUSOS,3
1,2020,CAMISAS,57
1,2020,CAMISETAS,57
1,2020,POLOS,30
1,2020,PANTALON COLOR,105
1,2020,JEANS,238
1,2020,CAMIBUSOS,4
2,2020,BLUSAS,68
2,2020,CAMIBUSOS,7
2,2020,BUSOS,8
2,2020,POLOS,54
2,2020,PANTALON COLOR,245
2,2020,CAMISETAS,74
2,2020,JEANS,386
2,2020,CAMISAS,102
3,2020,POLOS,40
3,2020,BUSOS,8
3,2020,PANTALON COLOR,178
3,2020,CAMISETAS,52
3,2020,CAMIBUSOS,13
3,2020,JEANS,327
3,2020,BLUSAS,73
3,2020,CAMISAS,80
4,2020,BUSOS,2
4,2020,CAMISETAS,37
4,2020,PANTALON COLOR,169
4,2020,CAMISAS,94
4,2020,BLUSAS,84
4,2020,CAMIBUSOS,13
4,2020,JEANS,282
4,2020,POLOS,31
5,2020,POLOS,34
5,2020,BUSOS,4
5,2020,CAMISAS,104
5,2020,BLUSAS,119
5,2020,CAMIBUSOS,11
5,2020,CAMISETAS,72
5,2020,JEANS,352
5,2020,PANTALON COLOR,175
6,2020,CAMISAS,106
6,2020,PANTALON COLOR,183
6,2020,BUSOS,3
6,2020,JEANS,300
6,2020,CAMIBUSOS,12
6,2020,POLOS,30
6,2020,CAMISETAS,58
6,2020,BLUSAS,115
7,2020,CAMISAS,115
7,2020,JEANS,294
7,2020,CAMISETAS,85
7,2020,BUSOS,1
7,2020,CHAQUETAS,1
7,2020,PANTALON COLOR,190
7,2020,POLOS,29
7,2020,BLUSAS,81
7,2020,CAMIBUSOS,10
8,2020,POLOS,40
8,2020,JEANS,273
8,2020,CAMIBUSOS,13
8,2020,BUSOS,1
8,2020,CHAQUETAS,3
8,2020,CAMISAS,106
8,2020,CAMISETAS,46
8,2020,BLUSAS,56
8,2020,PANTALON COLOR,166
8,2020,JOGGER,3
9,2020,BLUSAS,95
9,2020,CAMISETAS,44
9,2020,JEANS,261
9,2020,PANTALON COLOR,163
9,2020,POLOS,32
9,2020,BUSOS,1
9,2020,CAMISAS,92
9,2020,CHAQUETAS,4
9,2020,JOGGER,15
9,2020,CAMIBUSOS,15
10,2020,CHAQUETAS,4
10,2020,BLUSAS,58
10,2020,JOGGER,9
10,2020,JEANS,298
10,2020,PANTALON COLOR,156
10,2020,CAMIBUSOS,10
10,2020,POLOS,23
10,2020,CAMISETAS,49
10,2020,CAMISAS,96
11,2020,CAMISETAS,33
11,2020,PANTALON COLOR,152
11,2020,POLOS,23
11,2020,JOGGER,7
11,2020,BLUSAS,46
11,2020,CHAQUETAS,6
11,2020,CAMIBUSOS,6
11,2020,JEANS,235
11,2020,BUSOS,4
11,2020,CAMISAS,97
12,2020,PANTALON COLOR,44
12,2020,JOGGER,5
12,2020,BUSOS,2
12,2020,CAMISAS,27
12,2020,BLUSAS,26
12,2020,POLOS,16
12,2020,CAMISETAS,13
12,2020,CAMIBUSOS,1
12,2020,JEANS,79
12,2020,CHAQUETAS,3
23,2020,CAMIBUSOS,4
23,2020,BLUSAS,17
23,2020,POLOS,14
23,2020,CAMISETAS,25
23,2020,PANTALON COLOR,59
23,2020,CAMISAS,37
23,2020,VESTIDOS,4
23,2020,CHAQUETAS,7
23,2020,JEANS,148
23,2020,JOGGER,14
24,2020,JEANS,261
24,2020,JOGGER,9
24,2020,POLOS,44
24,2020,CAMIBUSOS,10
24,2020,VESTIDOS,3
24,2020,CAMISETAS,26
24,2020,BUSOS,3
24,2020,PANTALON COLOR,80
24,2020,CAMISAS,73
24,2020,BLUSAS,23
24,2020,CHAQUETAS,14
25,2020,POLOS,111
25,2020,CAMISETAS,51
25,2020,JEANS,454
25,2020,PANTALON COLOR,188
25,2020,TAPABOCAS,10
25,2020,CHAQUETAS,12
25,2020,CAMIBUSOS,18
25,2020,JOGGER,30
25,2020,BLUSAS,39
25,2020,VESTIDOS,3
25,2020,CAMISAS,159
25,2020,BUSOS,4
26,2020,TAPABOCAS,8
26,2020,PANTALON COLOR,102
26,2020,CAMISETAS,44
26,2020,POLOS,60
26,2020,BLUSAS,17
26,2020,CHAQUETAS,6
26,2020,CAMISAS,99
26,2020,JOGGER,14
26,2020,BUSOS,6
26,2020,VESTIDOS,3
26,2020,JEANS,247
26,2020,CAMIBUSOS,12
27,2020,BLUSAS,22
27,2020,CHAQUETAS,14
27,2020,PANTALON COLOR,92
27,2020,BUSOS,5
27,2020,CAMISAS,57
27,2020,JEANS,281
27,2020,CAMISETAS,61
27,2020,CAMIBUSOS,5
27,2020,VESTIDOS,2
27,2020,JOGGER,15
27,2020,POLOS,52
27,2020,TAPABOCAS,18
28,2020,BLUSAS,20
28,2020,CHAQUETAS,6
28,2020,JEANS,178
28,2020,JOGGER,14
28,2020,BUSOS,2
28,2020,PANTALON COLOR,83
28,2020,TAPABOCAS,15
28,2020,POLOS,17
28,2020,VESTIDOS,1
28,2020,CAMIBUSOS,9
28,2020,CAMISETAS,39
28,2020,CAMISAS,45
29,2020,JEANS,105
29,2020,BUSOS,5
29,2020,PANTALON COLOR,21
29,2020,VESTIDOS,2
29,2020,BLUSAS,15
29,2020,CAMIBUSOS,5
29,2020,TAPABOCAS,5
29,2020,CAMISAS,21
29,2020,CAMISETAS,20
29,2020,POLOS,13
29,2020,CHAQUETAS,6
29,2020,JOGGER,7
30,2020,BLUSAS,12
30,2020,JEANS,64
30,2020,CAMISAS,12
30,2020,CHAQUETAS,1
30,2020,CAMISETAS,8
30,2020,CAMIBUSOS,3
30,2020,PANTALON COLOR,13
30,2020,POLOS,18
30,2020,TAPABOCAS,2
30,2020,BUSOS,1
30,2020,JOGGER,5
31,2020,CAMIBUSOS,3
31,2020,BLUSAS,5
31,2020,JEANS,126
31,2020,CAMISAS,36
31,2020,POLOS,14
31,2020,PANTALON COLOR,34
31,2020,BUSOS,3
31,2020,TAPABOCAS,5
31,2020,JOGGER,19
31,2020,CHAQUETAS,7
31,2020,CAMISETAS,23
32,2020,CAMISAS,18
32,2020,CHAQUETAS,1
32,2020,TAPABOCAS,8
32,2020,POLOS,13
32,2020,JOGGER,8
32,2020,CAMIBUSOS,6
32,2020,VESTIDOS,1
32,2020,BLUSAS,18
32,2020,PANTALON COLOR,41
32,2020,BUSOS,1
32,2020,CAMISETAS,12
32,2020,JEANS,110
33,2020,TAPABOCAS,4
33,2020,JOGGER,15
33,2020,CHAQUETAS,3
33,2020,CAMIBUSOS,2
33,2020,JEANS,109
33,2020,BLUSAS,22
33,2020,CAMISAS,24
33,2020,BUSOS,2
33,2020,POLOS,7
33,2020,CAMISETAS,11
33,2020,PANTALON COLOR,51
33,2020,VESTIDOS,2
34,2020,TAPABOCAS,6
34,2020,BUSOS,1
34,2020,JOGGER,19
34,2020,CHAQUETAS,1
34,2020,CAMIBUSOS,4
34,2020,JEANS,161
34,2020,POLOS,22
34,2020,CAMISETAS,26
34,2020,PANTALON COLOR,54
34,2020,CAMISAS,30
34,2020,BLUSAS,30
35,2020,BUSOS,2
35,2020,PANTALON COLOR,63
35,2020,POLOS,11
35,2020,CAMISETAS,24
35,2020,BLUSAS,25
35,2020,TAPABOCAS,6
35,2020,CAMIBUSOS,5
35,2020,JEANS,169
35,2020,JOGGER,25
35,2020,CHAQUETAS,6
35,2020,CAMISAS,37
36,2020,BLUSAS,56
36,2020,POLOS,36
36,2020,PANTALON COLOR,157
36,2020,JOGGER,34
36,2020,CAMISAS,105
36,2020,CHAQUETAS,4
36,2020,CAMIBUSOS,22
36,2020,CAMISETAS,39
36,2020,BUSOS,5
36,2020,JEANS,355
36,2020,CORREAS,2
36,2020,VESTIDOS,2
36,2020,TAPABOCAS,8
37,2020,CHAQUETAS,11
37,2020,POLOS,32
37,2020,CAMISAS,72
37,2020,PANTALON COLOR,189
37,2020,BERMUDA,2
37,2020,BLUSAS,45
37,2020,TAPABOCAS,9
37,2020,CORREAS,3
37,2020,CAMISETAS,45
37,2020,BUSOS,6
37,2020,JEANS,434
37,2020,JOGGER,37
37,2020,CAMIBUSOS,13
38,2020,JOGGER,67
38,2020,PANTALON COLOR,186
38,2020,CORREAS,1
38,2020,CAMISETAS,65
38,2020,POLOS,57
38,2020,CAMISAS,90
38,2020,BERMUDA,9
38,2020,CHAQUETAS,13
38,2020,BLUSAS,47
38,2020,TAPABOCAS,4
38,2020,VESTIDOS,13
38,2020,CAMIBUSOS,20
38,2020,JEANS,464
38,2020,BUSOS,11
39,2020,JEANS,410
39,2020,CORREAS,4
39,2020,CHAQUETAS,18
39,2020,JOGGER,47
39,2020,TAPABOCAS,4
39,2020,VESTIDOS,19
39,2020,CAMISETAS,45
39,2020,PANTALON COLOR,196
39,2020,CAMIBUSOS,16
39,2020,BLUSAS,47
39,2020,BERMUDA,6
39,2020,BUSOS,5
39,2020,POLOS,32
39,2020,CAMISAS,113
40,2020,PANTALON COLOR,195
40,2020,JOGGER,40
40,2020,JEANS,397
40,2020,CAMISETAS,60
40,2020,BUSOS,2
40,2020,VESTIDOS,4
40,2020,CAMISAS,70
40,2020,CAMIBUSOS,15
40,2020,TAPABOCAS,12
40,2020,CORREAS,2
40,2020,POLOS,47
40,2020,BLUSAS,43
40,2020,BERMUDA,6
40,2020,CHAQUETAS,20
41,2020,POLOS,39
41,2020,CAMISETAS,48
41,2020,BERMUDA,5
41,2020,BLUSAS,49
41,2020,CAMISAS,87
41,2020,BUSOS,7
41,2020,PANTALON COLOR,216
41,2020,JOGGER,34
41,2020,CAMIBUSOS,16
41,2020,JEANS,411
41,2020,CORREAS,1
41,2020,CHAQUETAS,14
41,2020,VESTIDOS,1
41,2020,TAPABOCAS,14
42,2020,BERMUDA,9
42,2020,CAMISAS,91
42,2020,TAPABOCAS,7
42,2020,CAMIBUSOS,25
42,2020,VESTIDOS,4
42,2020,CHAQUETAS,8
42,2020,BLUSAS,72
42,2020,CAMISETAS,65
42,2020,JEANS,437
42,2020,POLOS,40
42,2020,BUSOS,4
42,2020,JOGGER,42
42,2020,PANTALON COLOR,192
42,2020,CORREAS,3
43,2020,JEANS,502
43,2020,BLUSAS,41
43,2020,CHAQUETAS,5
43,2020,CAMIBUSOS,18
43,2020,VESTIDOS,5
43,2020,TAPABOCAS,2
43,2020,CORREAS,4
43,2020,BERMUDA,3
43,2020,JOGGER,33
43,2020,CAMISAS,90
43,2020,BUSOS,1
43,2020,CAMISETAS,49
43,2020,PANTALON COLOR,188
43,2020,POLOS,84
44,2020,CORREAS,1
44,2020,JEANS,374
44,2020,CAMISETAS,52
44,2020,CAMIBUSOS,11
44,2020,VESTIDOS,7
44,2020,BLUSAS,43
44,2020,BERMUDA,3
44,2020,PANTALON COLOR,164
44,2020,POLOS,29
44,2020,JOGGER,33
44,2020,BUSOS,1
44,2020,CHAQUETAS,8
44,2020,CAMISAS,78
