SEMANA,ANO,PRENDA,UNIDADES,SEMANACORRIDA
1,2020,BLUSAS,38,1
1,2020,BUSOS,3,1
1,2020,CAMISAS,57,1
1,2020,CAMISETAS,57,1
1,2020,POLOS,30,1
1,2020,PANTALON COLOR,105,1
1,2020,JEANS,238,1
1,2020,CAMIBUSOS,4,1
2,2020,BLUSAS,68,2
2,2020,CAMIBUSOS,7,2
2,2020,BUSOS,8,2
2,2020,POLOS,54,2
2,2020,PANTALON COLOR,245,2
2,2020,CAMISETAS,74,2
2,2020,JEANS,386,2
2,2020,CAMISAS,102,2
3,2020,POLOS,40,3
3,2020,BUSOS,8,3
3,2020,PANTALON COLOR,178,3
3,2020,CAMISETAS,52,3
3,2020,CAMIBUSOS,13,3
3,2020,JEANS,327,3
3,2020,BLUSAS,73,3
3,2020,CAMISAS,80,3
4,2020,BUSOS,2,4
4,2020,CAMISETAS,37,4
4,2020,PANTALON COLOR,169,4
4,2020,CAMISAS,94,4
4,2020,BLUSAS,84,4
4,2020,CAMIBUSOS,13,4
4,2020,JEANS,282,4
4,2020,POLOS,31,4
5,2020,POLOS,34,5
5,2020,BUSOS,4,5
5,2020,CAMISAS,104,5
5,2020,BLUSAS,119,5
5,2020,CAMIBUSOS,11,5
5,2020,CAMISETAS,72,5
5,2020,JEANS,352,5
5,2020,PANTALON COLOR,175,5
6,2020,CAMISAS,106,6
6,2020,PANTALON COLOR,183,6
6,2020,BUSOS,3,6
6,2020,JEANS,300,6
6,2020,CAMIBUSOS,12,6
6,2020,POLOS,30,6
6,2020,CAMISETAS,58,6
6,2020,BLUSAS,115,6
7,2020,CAMISAS,115,7
7,2020,JEANS,294,7
7,2020,CAMISETAS,85,7
7,2020,BUSOS,1,7
7,2020,CHAQUETAS,1,7
7,2020,PANTALON COLOR,190,7
7,2020,POLOS,29,7
7,2020,BLUSAS,81,7
7,2020,CAMIBUSOS,10,7
8,2020,POLOS,40,8
8,2020,JEANS,273,8
8,2020,CAMIBUSOS,13,8
8,2020,BUSOS,1,8
8,2020,CHAQUETAS,3,8
8,2020,CAMISAS,106,8
8,2020,CAMISETAS,46,8
8,2020,BLUSAS,56,8
8,2020,PANTALON COLOR,166,8
8,2020,JOGGER,3,8
9,2020,BLUSAS,95,9
9,2020,CAMISETAS,44,9
9,2020,JEANS,261,9
9,2020,PANTALON COLOR,163,9
9,2020,POLOS,32,9
9,2020,BUSOS,1,9
