SEMANA,TIENDA,PRENDA,UNIDADES
1,ARKADIA,BLUSAS,23
1,ARKADIA,BUSOS,1
1,ARKADIA,CAMIBUSOS,7
1,ARKADIA,CAMISAS,22
1,ARKADIA,CAMISETAS,21
1,ARKADIA,JEANS,124
1,ARKADIA,PANTALON COLOR,58
1,ARKADIA,POLOS,10
1,COMPRETEX ECOMMERCE,JEANS,2
1,COMPRETEX ECOMMERCE,PANTALON COLOR,1
1,GUAYABAL,BLUSAS,41
1,GUAYABAL,BUSOS,4
1,GUAYABAL,CAMIBUSOS,8
1,GUAYABAL,CAMISAS,27
1,GUAYABAL,CAMISETAS,53
1,GUAYABAL,JEANS,172
1,GUAYABAL,PANTALON COLOR,91
1,GUAYABAL,POLOS,38
1,LA CENTRAL,BLUSAS,16
1,LA CENTRAL,BUSOS,1
1,LA CENTRAL,CAMIBUSOS,3
1,LA CENTRAL,CAMISAS,24
1,LA CENTRAL,CAMISETAS,13
1,LA CENTRAL,JEANS,99
1,LA CENTRAL,PANTALON COLOR,52
1,LA CENTRAL,POLOS,11
1,MARINILLA,BLUSAS,13
1,MARINILLA,BUSOS,2
1,MARINILLA,CAMIBUSOS,4
1,MARINILLA,CAMISAS,17
1,MARINILLA,CAMISETAS,12
1,MARINILLA,JEANS,50
1,MARINILLA,PANTALON COLOR,27
1,MARINILLA,POLOS,18
1,MAYORCA 1,BLUSAS,20
1,MAYORCA 1,BUSOS,4
1,MAYORCA 1,CAMIBUSOS,3
1,MAYORCA 1,CAMISAS,38
1,MAYORCA 1,CAMISETAS,20
1,MAYORCA 1,JEANS,166
1,MAYORCA 1,PANTALON COLOR,93
1,MAYORCA 1,POLOS,15
1,MAYORCA 2,BLUSAS,14
1,MAYORCA 2,BUSOS,1
1,MAYORCA 2,CAMIBUSOS,8
1,MAYORCA 2,CAMISAS,32
1,MAYORCA 2,CAMISETAS,29
1,MAYORCA 2,JEANS,168
1,MAYORCA 2,PANTALON COLOR,91
1,MAYORCA 2,POLOS,20
1,MOLINOS 1,BLUSAS,38
1,MOLINOS 1,BUSOS,3
1,MOLINOS 1,CAMIBUSOS,4
1,MOLINOS 1,CAMISAS,57
1,MOLINOS 1,CAMISETAS,57
1,MOLINOS 1,JEANS,238
1,MOLINOS 1,PANTALON COLOR,105
1,MOLINOS 1,POLOS,30
1,PARQUE LA CEJA,BLUSAS,9
1,PARQUE LA CEJA,CAMISAS,22
1,PARQUE LA CEJA,CAMISETAS,5
1,PARQUE LA CEJA,JEANS,48
1,PARQUE LA CEJA,PANTALON COLOR,34
1,PARQUE LA CEJA,POLOS,16
1,PREMIUM PLAZA,BLUSAS,30
1,PREMIUM PLAZA,BUSOS,1
1,PREMIUM PLAZA,CAMIBUSOS,4
1,PREMIUM PLAZA,CAMISAS,21
